threshold,tp,fp,precision,recall
24.25,28524,791,0.9730172266757633,0.32599229705482347
24.125,28761,814,0.9724767540152156,0.3287008994388507
24.0,29018,845,0.9717041154606034,0.3316380758637242
23.875,29259,883,0.9707053281135957,0.3343923930559206
23.75,29498,903,0.9702970297029703,0.3371238528440325
23.625,29743,941,0.9693325511667319,0.3399238848443982
23.5,30003,965,0.9688388013433221,0.34289534737539856
23.375,30238,990,0.9682976815678237,0.3455810923553412
23.25,30479,1022,0.967556585505222,0.34833540954753767
23.125,30745,1051,0.9669455277393383,0.35137544429079187
23.0,30998,1082,0.9662718204488778,0.3542669059074961
22.875,31252,1108,0.9657601977750309,0.35716979622624256
22.75,31494,1137,0.9651558334099476,0.3599355421204814
22.625,31761,1170,0.9644711669855152,0.3629870055657779
22.5,32027,1199,0.9639138024438693,0.3660270403090321
22.375,32279,1241,0.9629773269689738,0.368907073223694
22.25,32559,1286,0.9620032501107992,0.3721071097955405
22.125,32839,1315,0.9614979211805352,0.37530714636738705
22.0,33109,1358,0.9605999941973482,0.3783928959188105
21.875,33381,1403,0.9596653633854646,0.38150150287431855
21.75,33656,1449,0.9587238285144566,0.38464439593595356
21.625,33908,1496,0.9577448875833239,0.38752442885061544
21.5,34178,1545,0.9567505528651009,0.3906101784020389
21.375,34431,1595,0.9557264198079165,0.39350164001874305
21.25,34682,1642,0.9547957273428036,0.39637024423136263
21.125,34969,1697,0.9537173403152784,0.39965028171750533
21.0,35234,1756,0.9525277101919438,0.40267888775871724
20.875,35505,1810,0.9514940372504355,0.405776066012183
20.75,35764,1881,0.9500332049408952,0.40873609984114107
20.625,36057,1937,0.9490182660420067,0.4120847095395376
20.5,36349,1992,0.9480451735739809,0.41542189053589185
20.375,36609,2052,0.946923255994413,0.4183933530668922
20.25,36867,2122,0.94557439277745,0.42134195819380793
20.125,37172,2195,0.9442426397744303,0.4248277123167122
20.0,37441,2263,0.9430032238565383,0.4279020331660933
19.875,37719,2352,0.941304185071498,0.43107921233385527
19.75,37955,2418,0.940108488346172,0.4337763860158402
19.625,38211,2500,0.9385915354572474,0.4367021337386713
19.5,38467,2581,0.9371223932956538,0.4396278814615024
19.375,38743,2659,0.9357760494662094,0.4427822032251797
19.25,39008,2747,0.9342114716800383,0.4458108092663916
19.125,39274,2838,0.932608282674772,0.4488508440096458
19.0,39535,2930,0.9310020016484163,0.4518337352426885
18.875,39813,3032,0.9292332827634496,0.4550109144104504
18.75,40076,3137,0.9274061046444357,0.4580166630475777
18.625,40324,3223,0.9259880129515237,0.4608509811540703
18.5,40601,3345,0.92388385746143,0.46401673161978996
18.375,40895,3436,0.9224921612415691,0.4673767700202288
18.25,41163,3535,0.920913687413307,0.4704396621675676
18.125,41419,3647,0.9190742466604536,0.47336540989039877
18.0,41669,3762,0.917193106028923,0.476222585400976
